key	euRoadsRelated	asiaRoadsRelated	russRoads	nameRU	wikipediaURL	length	roadSurface	regions	roadType	route
E119			M6,M29	European Route E119				05	европейский маршрут	
E40			M6,M21	European Route E40	http://ru.wikipedia.org/wiki/Европейский_маршрут_E40			61,34,30	европейский маршрут	
E20			M7,M11	European Route E20	http://ru.wikipedia.org/wiki/Европейский_маршрут_E20			47,78	европейский маршрут	
E117			M7,M29	European Route E117	http://ru.wikipedia.org/wiki/Европейский_маршрут_E117			26,07,15	европейский маршрут	
E115			M8,M4	European Route E115	http://ru.wikipedia.org/wiki/Европейский_маршрут_E115			76,50,71,48,36,61,23	европейский маршрут	
E22			M9	European Route E22	http://ru.wikipedia.org/wiki/Европейский_маршрут_E22			60,69,50,77,33,52,21,16,18,59,66,72	европейский маршрут	
E105			M2,M10,M18	European Route E105	http://ru.wikipedia.org/wiki/Европейский_маршрут_E105			51,10,53,47,78	европейский маршрут	
E95			M20	European Route E95	http://ru.wikipedia.org/wiki/Европейский_маршрут_E95			78,47,60,69,50,77,71,57,46,31	европейский маршрут	
E50			M19,M4,M29	European Route E50	http://ru.wikipedia.org/wiki/Европейский_маршрут_E50			62,26,07,15,06,20,05	европейский маршрут	
E592			M4	European Route E592				23	европейский маршрут	
E101			M3	European Route E101	http://ru.wikipedia.org/wiki/Европейский_маршрут_E101			77,50,40,32	европейский маршрут	
E97			M4	European Route E97	http://ru.wikipedia.org/wiki/Европейский_маршрут_E97			23	европейский маршрут	
E38				European Route E38	http://ru.wikipedia.org/wiki/Европейский_маршрут_E38			46,36,64		
AH4				Азиатский маршрут 4					азиатский маршрут	
AH6			M1,M5	Азиатский маршрут 6	http://ru.wikipedia.org/wiki/Азиатский_маршрут_AH6			67,50,77,62,13,58,73,63,56,16,02,74,45,55,54,42,24,38,03,75	азиатский маршрут	
AH7			M5	Азиатский маршрут 7	http://ru.wikipedia.org/wiki/Азиатский_маршрут_AH7			66,74	азиатский маршрут	
AH8			M6	Азиатский маршрут 8					азиатский маршрут	
AH30				Азиатский маршрут 30					азиатский маршрут	
AH70				Азиатский маршрут 70					азиатский маршрут	
